brand,model,year,price_in_euro,power_ps,transmission_type,fuel_type,mileage_in_km
land-rover,Land Rover Discovery Sport,2020.0,39273.0,200.0,Automatic,Petrol,11697.0
volkswagen,Volkswagen Polo,2010.0,11350.0,105.0,Automatic,Petrol,57314.0
seat,SEAT Arona,2018.0,19919.0,116.0,Automatic,Petrol,46398.0
fiat,Fiat 500C,2022.0,20190.0,71.0,Manual,Hybrid,99.0
hyundai,Hyundai i30,2018.0,18990.0,140.0,Manual,Petrol,50711.0
dacia,Dacia Spring,2023.0,17670.0,45.0,Automatic,Electric,1.0
kia,Kia Sportage,2016.0,20690.0,177.0,Automatic,Petrol,81200.0
dacia,Dacia Sandero,2023.0,18950.0,110.0,Manual,Petrol,2500.0
dodge,Dodge Challenger,2022.0,35000.0,309.0,Automatic,LPG,10843.0
audi,Audi A6,2011.0,12500.0,177.0,Manual,Diesel,248000.0
hyundai,Hyundai SANTA FE,2016.0,24990.0,200.0,Automatic,Diesel,84320.0
land-rover,Land Rover Range Rover Velar,2021.0,71490.0,300.0,Automatic,Diesel,11250.0
honda,Honda CR-V,2019.0,30490.0,145.0,Automatic,Hybrid,40200.0
volkswagen,Volkswagen Golf Variant,2016.0,14000.0,150.0,Automatic,Diesel,165000.0
ssangyong,SsangYong REXTON,2017.0,17800.0,178.0,Automatic,Diesel,121011.0
volvo,Volvo V60,2019.0,21950.0,150.0,Automatic,Diesel,145360.0
volvo,Volvo XC60,2016.0,25400.0,220.0,Automatic,Diesel,68569.0
dodge,Dodge Challenger,2019.0,69900.0,492.0,Automatic,Petrol,19000.0
mini,MINI Cooper S Countryman,2018.0,28780.0,136.0,Automatic,Petrol,45990.0
mitsubishi,Mitsubishi Space Star,2023.0,16990.0,71.0,Manual,Petrol,2000.0
jaguar,Jaguar XF,2018.0,27900.0,250.0,Automatic,Petrol,35281.0
nissan,Nissan X-Trail,2023.0,43950.0,204.0,Automatic,Hybrid,11000.0
land-rover,Land Rover Range Rover Velar,2019.0,53850.0,300.0,Automatic,Petrol,22255.0
renault,Renault Scenic,2011.0,5340.0,110.0,Automatic,Diesel,163000.0
seat,SEAT Leon,2021.0,35990.0,190.0,Automatic,Petrol,11500.0
lada,Lada Taiga,2019.0,12995.0,83.0,Manual,Petrol,30100.0
maserati,Maserati Quattroporte,2019.0,47900.0,275.0,Automatic,Diesel,74166.0
ford,Ford B-Max,2014.0,8790.0,125.0,Manual,Petrol,82490.0
isuzu,Isuzu D-Max,2008.0,18990.0,163.0,Automatic,Diesel,184414.0
jeep,Jeep Renegade,2023.0,27089.0,131.0,Automatic,Hybrid,10.0
seat,SEAT Arona,2021.0,21831.0,110.0,Automatic,Petrol,100.0
porsche,Porsche Cayenne,2019.0,59850.0,340.0,Automatic,Petrol,86860.0
porsche,Porsche Cayman,2017.0,59990.0,349.0,Manual,Petrol,11960.0
